Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Initial Cost Estimate,US East (Ohio),Web App Instances,Amazon EC2,0,382.42,4589.04,USD,"Operating system (Linux), Quantity (6), Pricing strategy (On-Demand Instances), Storage amount (30 GB), Instance type (t3.large)"
Initial Cost Estimate,US East (Ohio),Application Instances,Amazon EC2,0,390.3,4683.60,USD,"Operating system (Linux), Quantity (6), Pricing strategy (On-Demand Instances), Storage amount (30 GB), Instance type (c5.large)"
Initial Cost Estimate,US East (Ohio),Master RDS,Amazon RDS for PostgreSQL,0,3681.73,44180.76,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (30 GB per month), Nodes (1), Instance Type (db.m4.10xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (Reserved), Lease Offering Term (1yr), Purchase Option (No Upfront), Additional backup storage (100 GB)"
Initial Cost Estimate,US East (Ohio),Replica RDS,Amazon RDS for PostgreSQL,0,3672.23,44066.76,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (30 GB per month), Nodes (1), Instance Type (db.m4.10xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (Reserved), Lease Offering Term (1yr), Purchase Option (No Upfront)"
Initial Cost Estimate,US East (Ohio),,S3 Standard,0,115,1380.00,USD,S3 Standard storage (5000 GB per month)
Initial Cost Estimate,US East (Ohio),,Data Transfer,0,0,0.00,USD,
Initial Cost Estimate,US East (Ohio),Load Balancers,Application Load Balancer,0,191.63,2299.56,USD,Number of Application Load Balancers (1)
Initial Cost Estimate,US East (Ohio),Load Balancers,Network Load Balancer,0,147.83,1773.96,USD,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (30 GB per hour), Average number of new UDP Flows ( per second), Average UDP Flow duration ( seconds), Average number of new TCP connections (10 per second), Average TCP connection duration (30 seconds)"
Initial Cost Estimate,US East (Ohio),Nat Gateways,Amazon Virtual Private Cloud (VPC),0,722.7,8672.40,USD,Number of NAT Gateways (2)
Initial Cost Estimate,US East (Ohio),CloudFront Service,Amazon CloudFront,0,0.96,11.52,USD,"Number of requests (HTTPS) (5000 per month), Data transfer out to internet (10 GB per month), Data transfer out to origin (5 GB per month)"
Initial Cost Estimate,US East (Ohio),,Amazon Route 53,0,573,6876.00,USD,"Hosted Zones (1), Basic Checks Within AWS (100), Number of Elastic Network Interfaces (6)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
